transcript_id	cluster_int	sample_id	expression_value
ACTL6B_NM_016188	1	S02350	4.7164038229987595
ACTL6B_NM_016188	1	S02351	4.161952158926742
ACTL6B_NM_016188	1	S02352	4.566108851928169
ACTL6B_NM_016188	1	S02353	4.3066340955970785
ACTL6B_NM_016188	1	S02354	4.8470297764112775
ACTL6B_NM_016188	1	S02360	5.410734562583468
ACTL6B_NM_016188	1	S02376	3.828438640818396
ACTL6B_NM_016188	1	S02382	4.384588643959183
ACTL6B_NM_016188	1	S02397	3.5373209195045323
ACTL6B_NM_016188	2	S00035	1.9538872613174867
ACTL6B_NM_016188	2	S00829	0.30726297008077735
ACTL6B_NM_016188	2	S00837	0.14488824004617779
ACTL6B_NM_016188	2	S01542	0.15871445713983023
ACTL6B_NM_016188	2	S01556	1.9963923622201347
ACTL6B_NM_016188	2	S02120	1.855104679225253
ACTL6B_NM_016188	2	S02209	0.04380363023461401
ACTL6B_NM_016188	2	S02246	0.1586886089215317
ACTL6B_NM_016188	2	S02255	0.9675360605446207
ACTL6B_NM_016188	2	S02286	0.10403601110498283
ACTL6B_NM_016188	2	S02288	0.043956173089501234
ACTL6B_NM_016188	2	S02291	2.030505589494032
ACTL6B_NM_016188	2	S02296	0.020798728359525558
ACTL6B_NM_016188	2	S02298	0
ACTL6B_NM_016188	2	S02299	0.35302286310873265
ACTL6B_NM_016188	2	S02328	0.8419256319490567
ACTL6B_NM_016188	2	S02375	2.181506512429263
ACTL6B_NM_016188	2	S02378	2.3627476001022307
ADCYAP1_NM_001099733	2	S00022	2.541138133385236
ADCYAP1_NM_001099733	2	S00035	2.1446957626107825
ADCYAP1_NM_001099733	2	S00213	2.090555378154515
ADCYAP1_NM_001099733	2	S00829	1.7305095369110173
ADCYAP1_NM_001099733	2	S00836	2.3082935991251e-5
ADCYAP1_NM_001099733	2	S00837	0.6645938826495382
ADCYAP1_NM_001099733	2	S01366	5.482136995432293e-5
ADCYAP1_NM_001099733	2	S01494	1.3560696041632576e-4
ADCYAP1_NM_001099733	2	S01524	1.7842903896237639
ADCYAP1_NM_001099733	2	S01542	1.4858993696111725e-4
ADCYAP1_NM_001099733	2	S01556	1.2550900899453523e-4
ADCYAP1_NM_001099733	2	S01563	1.9909439720914455
ADCYAP1_NM_001099733	2	S01861	1.7906260931206497
ADCYAP1_NM_001099733	2	S02209	1.1396840653735439e-4
ADCYAP1_NM_001099733	2	S02246	4.3280786305164765e-6
ADCYAP1_NM_001099733	2	S02255	1.1541098689330683e-4
ADCYAP1_NM_001099733	2	S02256	1.0964065681532342e-4
ADCYAP1_NM_001099733	2	S02285	1.3069562931730467
ADCYAP1_NM_001099733	2	S02286	0.38328569468995594
ADCYAP1_NM_001099733	2	S02288	1.1685356580647471e-4
ADCYAP1_NM_001099733	2	S02290	2.297649249154514
ADCYAP1_NM_001099733	2	S02291	2.46974534571617
ADCYAP1_NM_001099733	2	S02295	1.1685356580647471e-4
ADCYAP1_NM_001099733	2	S02296	1.0964065681532342e-4
ADCYAP1_NM_001099733	2	S02298	1.240664387360922e-4
ADCYAP1_NM_001099733	2	S02299	0.9966700264795595
ADCYAP1_NM_001099733	2	S02322	1.0371150966092049
ADCYAP1_NM_001099733	2	S02328	1.6991829164185206
ADCYAP1_NM_001099733	2	S02347	2.2332131725203115
ADCYAP1_NM_001099733	2	S02352	1.9597553202247484
ADCYAP1_NM_001099733	2	S02353	0.5886453245992262
ADCYAP1_NM_001099733	2	S02354	2.2286155447323264
ADCYAP1_NM_001099733	2	S02382	1.7510608929278049
ADCYAP1_NM_001099733	1	S00050	4.099219448233496
ADCYAP1_NM_001099733	1	S00356	3.915473096943379
ADCYAP1_NM_001099733	1	S00472	3.8951474844934464
ADCYAP1_NM_001099733	1	S00501	6.19568618242421
ADCYAP1_NM_001099733	1	S00825	2.8548673861488485
ADCYAP1_NM_001099733	1	S00827	4.879691064831286
ADCYAP1_NM_001099733	1	S00830	4.967814170575088
ADCYAP1_NM_001099733	1	S00831	4.653421219052853
ADCYAP1_NM_001099733	1	S00832	5.8208273910808765
ADCYAP1_NM_001099733	1	S00838	3.171105924924757
ADCYAP1_NM_001099733	1	S01242	4.84916361503172
ADCYAP1_NM_001099733	1	S01248	4.0904808554581455
ADCYAP1_NM_001099733	1	S01297	2.704336386221888
ADCYAP1_NM_001099733	1	S01453	3.8507494258964963
ADCYAP1_NM_001099733	1	S01512	5.05531280770866
ADCYAP1_NM_001099733	1	S01578	3.316210922825775
ADCYAP1_NM_001099733	1	S01698	6.599137743168904
ADCYAP1_NM_001099733	1	S01728	2.765053060409036
ADCYAP1_NM_001099733	1	S01792	6.836504874450214
ADCYAP1_NM_001099733	1	S01864	2.8597211289279647
ADCYAP1_NM_001099733	1	S01873	4.96266006637552
ADCYAP1_NM_001099733	1	S02065	5.272396509037485
ADCYAP1_NM_001099733	1	S02093	4.6819664288210445
ADCYAP1_NM_001099733	1	S02120	2.699684880221802
ADCYAP1_NM_001099733	1	S02139	2.859581995437195
